縣市別代碼,年別,項目,原始值[統計數值],年增率[%]
63000,103年,7月,95.78,2.44
63000,103年,8月,96,2.53
63000,103年,9月,95.94,1.44
63000,103年,10月,95.98,1.35
63000,103年,11月,95.14,1.29
63000,103年,12月,94.79,1
63000,103年,年指數,95.1,1.68
63000,104年,1月,93.83,-0.72
63000,104年,2月,94.67,1.06
63000,104年,3月,93.84,-0.18
63000,104年,4月,94.38,-0.38
63000,104年,5月,94.54,-0.38
63000,104年,6月,95.28,-0.44
63000,104年,7月,95.42,-0.37
63000,104年,8月,95.79,-0.22
63000,104年,9月,96.25,0.32
63000,104年,10月,96.52,0.56
63000,104年,11月,95.65,0.54
63000,104年,12月,95.06,0.28
63000,104年,年指數,95.1,0
63000,105年,1月,94.67,0.89
63000,105年,2月,96.41,1.84
63000,105年,3月,95.62,1.9
63000,105年,4月,96.16,1.89
63000,105年,5月,95.74,1.26
63000,105年,6月,96.04,0.8
63000,105年,7月,96.2,0.82
63000,105年,8月,96.32,0.55
63000,105年,9月,96.58,0.34
63000,105年,10月,97.96,1.5
63000,105年,11月,97.45,1.88
63000,105年,12月,96.53,1.54
63000,105年,年指數,96.31,1.27
63000,106年,1月,97.11,2.57
63000,106年,2月,96.1,-0.32
63000,106年,3月,95.76,0.14
63000,106年,4月,96.11,-0.05
63000,106年,5月,96.29,0.57
63000,106年,6月,96.99,0.99
63000,106年,7月,97.19,1.03
63000,106年,8月,97.32,1.04
63000,106年,9月,97.11,0.55
63000,106年,10月,97.79,-0.18
63000,106年,11月,97.56,0.11
63000,106年,12月,97.42,0.93
63000,106年,年指數,96.89,0.61
63000,107年,1月,97.08,-0.03
63000,107年,2月,97.78,1.74
63000,107年,3月,97.07,1.37
63000,107年,4月,97.65,1.59
63000,107年,5月,97.48,1.24
63000,107年,6月,97.87,0.9
63000,107年,7月,98.37,1.21
63000,107年,8月,98.36,1.07
63000,107年,9月,98.48,1.42
63000,107年,10月,98.66,0.89
63000,107年,11月,97.97,0.42
63000,107年,12月,97.41,-0.01
63000,107年,年指數,97.85,0.98
63000,108年,1月,97.17,0.1
63000,108年,2月,97.89,0.11
63000,108年,3月,97.5,0.45
63000,108年,4月,98.39,0.76
63000,108年,5月,98.66,1.21
63000,108年,6月,98.93,1.08
63000,108年,7月,99.06,0.7
63000,108年,8月,99.33,0.99
63000,108年,9月,99.49,1.03
63000,108年,10月,99.5,0.86
63000,108年,11月,98.99,1.04
63000,108年,12月,98.98,1.61
63000,108年,年指數,98.66,0.83
63000,109年,1月,99.1,1.98
63000,109年,2月,98.28,0.4
63000,109年,3月,97.91,0.41
63000,109年,4月,97.81,-0.59
63000,109年,5月,97.74,-0.93
63000,109年,6月,98.46,-0.47
63000,109年,7月,98.42,-0.65
63000,109年,8月,98.64,-0.7
63000,109年,9月,98.72,-0.77
63000,109年,10月,99.01,-0.49
63000,109年,11月,98.92,-0.08
63000,109年,12月,98.75,-0.23
63000,109年,年指數,98.48,-0.18
63000,110年,1月,98.96,-0.14
63000,110年,2月,99.05,0.78
63000,110年,3月,98.82,0.93
63000,110年,4月,99.29,1.52
63000,110年,5月,99.28,1.58
63000,110年,6月,99.55,1.11
63000,110年,7月,99.76,1.37
63000,110年,8月,100.59,1.98
63000,110年,9月,100.77,2.07
63000,110年,10月,101.27,2.28
63000,110年,11月,101.61,2.73
63000,110年,12月,101.04,2.31
63000,110年,年指數,100,1.55
63000,111年,1月,101.03,2.08
63000,111年,2月,101.14,2.11
63000,111年,3月,101.4,2.61
63000,111年,4月,102.15,2.88
63000,111年,5月,102.06,2.79
63000,111年,6月,102.5,2.96
63000,111年,7月,102.59,2.83
63000,111年,8月,102.69,2.09
63000,111年,9月,103.1,2.31
63000,111年,10月,104.35,3.04
63000,111年,11月,104.56,2.9
63000,111年,12月,104.69,3.61
63000,111年,年指數,102.69,2.69
63000,112年,1月,105.61,4.53
63000,112年,2月,105.07,3.89
63000,112年,3月,105.4,3.94
63000,112年,4月,106.59,4.35
63000,112年,5月,106.17,4.03
63000,112年,6月,106.43,3.83
63000,112年,7月,106.94,4.24
63000,112年,8月,107.47,4.65
63000,112年,9月,108.02,4.77
63000,112年,10月,108.36,3.84
63000,112年,11月,107.96,3.25
63000,112年,12月,107.67,2.85
63000,112年,年指數,106.81,4.01
63000,113年,1月,107.45,1.74
63000,113年,2月,107.77,2.57
63000,113年,3月,107.58,2.07
63000,113年,4月,108.06,1.38
63000,113年,5月,108.15,1.86
63000,113年,6月,108.38,1.83
63000,113年,7月,108.72,1.66
63000,113年,8月,109.45,1.84
63000,113年,9月,109.64,1.5
63000,113年,10月,109.79,1.32
63000,113年,11月,109.98,1.87
63000,113年,12月,109.78,1.96
63000,113年,年指數,108.73,1.8
63000,114年,1月,110.42,2.76
63000,114年,2月,109.75,1.84
63000,114年,3月,109.96,2.21
63000,114年,4月,110.24,2.02
63000,114年,5月,110.02,1.73
63000,114年,6月,110.11,1.6
63000,114年,7月,110.81,1.92
63000,114年,8月,111.26,1.65
