date,reserve_capacity_mw,reserve_margin_pct
2024-02-06,8391.0,29.63
2024-02-07,9573.0,35.63
2024-02-08,4895.0,20.22
2024-02-09,4306.0,18.68
2024-02-10,3662.0,16.09
2024-02-11,5576.0,24.95
2024-02-12,3451.0,15.06
2024-02-13,3930.0,16.62
2024-02-14,4217.0,17.11
2024-02-15,8361.0,29.58
2024-02-16,6462.0,23.06
2024-02-17,2604.0,9.4
2024-02-18,4001.0,15.18
2024-02-19,7407.0,24.23
2024-02-20,5538.0,17.7
2024-02-21,6459.0,20.54
2024-02-22,7037.0,22.73
2024-02-23,5200.0,17.51
2024-02-24,3983.0,14.95
2024-02-25,4637.0,17.74
2024-02-26,3962.0,13.53
2024-02-27,7237.0,24.66
2024-02-28,4604.0,16.56
2024-02-29,6958.0,23.43
2024-03-01,6648.0,22.79
2024-03-02,3548.0,12.89
2024-03-03,2828.0,10.53
2024-03-04,5622.0,18.73
2024-03-05,6151.0,19.76
2024-03-06,8584.0,28.08
2024-03-07,7434.0,25.11
2024-03-08,8419.0,28.84
2024-03-09,5100.0,18.92
2024-03-10,3477.0,13.01
2024-03-11,2451.0,8.14
2024-03-12,7337.0,24.74
2024-03-13,7492.0,25.14
2024-03-14,5623.0,18.67
2024-03-15,5608.0,18.53
2024-03-16,3789.0,13.82
2024-03-17,4074.0,15.08
2024-03-18,6755.0,22.35
2024-03-19,6442.0,21.54
2024-03-20,7300.0,24.79
2024-03-21,4801.0,16.08
2024-03-22,4396.0,14.36
2024-03-23,3150.0,11.1
2024-03-24,2624.0,9.32
2024-03-25,4888.0,14.71
2024-03-26,8984.0,27.92
2024-03-27,8285.0,26.38
2024-03-28,4337.0,13.23
2024-03-29,6862.0,21.28
2024-03-30,2988.0,10.43
2024-03-31,4550.0,16.09
2024-04-01,6418.0,19.73
2024-04-02,8219.0,24.07
2024-04-03,7385.0,22.13
2024-04-04,3211.0,11.22
2024-04-05,4271.0,15.98
2024-04-06,2292.0,8.3
2024-04-07,4114.0,14.85
2024-04-08,5680.0,17.3
2024-04-09,7465.0,23.98
2024-04-10,7217.0,22.6
2024-04-11,7384.0,22.65
2024-04-12,5431.0,16.23
2024-04-13,5893.0,19.87
2024-04-14,2473.0,8.42
2024-04-15,5694.0,16.14
2024-04-16,4976.0,13.95
2024-04-17,6279.0,17.7
2024-04-18,9165.0,26.87
2024-04-19,6933.0,19.9
2024-04-20,10988.0,35.71
2024-04-21,3660.0,12.41
2024-04-22,4103.0,11.62
2024-04-23,4177.0,12.26
2024-04-24,5271.0,15.89
2024-04-25,6350.0,19.23
2024-04-26,4109.0,12.61
2024-04-27,4547.0,15.68
2024-04-28,4779.0,16.83
2024-04-29,8212.0,23.88
2024-04-30,5685.0,15.73
2024-05-01,7659.0,25.99
2024-05-02,11739.0,36.32
2024-05-03,9357.0,28.3
2024-05-04,10257.0,33.87
2024-05-05,3839.0,12.9
2024-05-06,7133.0,20.07
2024-05-07,8180.0,22.89
2024-05-08,8335.0,23.67
2024-05-09,11936.0,36.11
2024-05-10,8292.0,24.18
2024-05-11,10678.0,35.24
2024-05-12,3294.0,11.07
2024-05-13,11121.0,34.48
2024-05-14,10181.0,32.09
2024-05-15,9997.0,30.36
2024-05-16,9705.0,29.86
